article_no,title,url,date,category
153202,[KB국민은행] 2026 하계 체험형 인턴 모집 (~6/24),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153202&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153200,2026 AI 트렌드 온라인 특강 및 LG CNS AM Inspire Camp 6기 안내,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153200&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153198,[현대자동차그룹] 현대자동차그룹이 함께하는 HINT 교육생 모집(6/15 (월) ~ 7/3 (금) 23시 59분),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153198&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153196,[경기창조경제혁신센터] 계약직 직원 채용(신입/경력),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153196&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153195,[청년취업사관학교] 동대문 캠퍼스 DX 4기 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153195&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153192,[현대모비스] 26년 6월 신입 채용 (~6/25(목) 11:00),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153192&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
153191,[SAP Korea] KDT 심화과정 2기 모집 (~7/8) 23:59까지,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153191&article.offset=0&articleLimit=10,2026-06-18,취업/인턴
152858,「2026 블록체인 밋업데이(BCMD)」10회차 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152858&article.offset=0&articleLimit=10,2026-06-10,취업/인턴
152857,[AI·네트워크 응용분야 개발 공모전] K-디지털 챌린지 : 넷 챌린지 캠프 시즌13,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152857&article.offset=0&articleLimit=10,2026-06-10,취업/인턴
152856,[LG CNS 2026년 상반기 AX/DX & RX 분야 신입사원 채용 안내],https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152856&article.offset=0&articleLimit=10,2026-06-10,취업/인턴
152800,2026년 신한캐피탈 신입사원 공개채용,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152800&article.offset=0&articleLimit=10,2026-06-09,취업/인턴
152743,2026년 제3차 (재)경북창조경제혁신센터 직원채용(계약직) 공고,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152743&article.offset=0&articleLimit=10,2026-06-08,취업/인턴
152742,[램리서치코리아] 신입 반도체 엔지니어(FSE) 공개채용 & All-in-One 커리어 이벤트 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152742&article.offset=0&articleLimit=10,2026-06-08,취업/인턴
152741,[경기도 친환경차 부품개발 인력양성 교육생 모집],https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152741&article.offset=0&articleLimit=10,2026-06-08,취업/인턴
152686,2026 전자정부 표준프레임워크 컨트리뷰션 안내(05.19~09.18),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152686&article.offset=0&articleLimit=10,2026-06-05,취업/인턴
152631,[JTI Korea] 2026년 하반기 JTI코리아 Traineeship 모집 (~ 6/14),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152631&article.offset=0&articleLimit=10,2026-06-04,취업/인턴
152628,[롯데그룹] 3·6·9·12 예측가능한 롯데그룹 채용 '6월 공고 오픈' (6/2~),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152628&article.offset=0&articleLimit=10,2026-06-04,취업/인턴
152368,WINS Cloud Security School (2기) 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152368&article.offset=0&articleLimit=10,2026-06-01,취업/인턴
152367,[DB손해보험] 2026년 글로벌인턴 모집(외국국적자),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152367&article.offset=0&articleLimit=10,2026-06-01,취업/인턴
152366,2026년도 국토안전관리원 제1차 직무 중심 직원 채용 공고(~6/11),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152366&article.offset=0&articleLimit=10,2026-06-01,취업/인턴
152365,2026년 상반기 극지연구소 연수생 2차 채용,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152365&article.offset=0&articleLimit=10,2026-06-01,취업/인턴
152364,2026년 상반기 극지연구소 박사후 및 석사후 연수연구원 2차 채용,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=152364&article.offset=0&articleLimit=10,2026-06-01,취업/인턴
