article_no,title,url,date,category
153302,2026학년도 1학기 강의개선보고서(CQI) 입력 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153302&article.offset=40&articleLimit=10&noCat=33,2026.06.22,교강사
153288,[서울/취업진로지원센터] 2026년 7월 READ 진로상담 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153288&article.offset=40&articleLimit=10&noCat=396,2026.06.19,취창업
153287,2026학년도 2학기 Inbound 교류학생 버디 모집(서울캠퍼스) (~2026.7.6.(월)),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153287&article.offset=40&articleLimit=10&noCat=514,2026.06.19,학생활동
153281,2026년 7월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153281&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153273,(서울캠퍼스) 2026 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.23 화 16시까지),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153273&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153268,[신한은행] 금융서비스 일시중단(7/19),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153268&article.offset=40&articleLimit=10&noCat=29,2026.06.19,일반
153258,[교수학습지원센터(서울)]학습법 워크숍(바이브 코딩1~2),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153258&article.offset=40&articleLimit=10&noCat=511,2026.06.19,교수학습지원
153243,홍익 메이커스페이스 여름방학 특강 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153243&article.offset=40&articleLimit=10&noCat=29,2026.06.18,일반
153236,[조교채용] 교무처 학사지원팀 조교 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153236&article.offset=40&articleLimit=10&noCat=35,2026.06.18,채용/모집
153168,[취업진로지원센터] 인바디 2026년 상반기 채용 홍보 커피차 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153168&article.offset=50&articleLimit=10&noCat=396,2026.06.17,취창업
153159,[모집] 홍익챌린지 13기(2026학년도 제2학기) 참가학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153159&article.offset=50&articleLimit=10&noCat=513,2026.06.17,대학교육혁신사업단
153152,하계방학 중 단축 근무 시행 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153152&article.offset=50&articleLimit=10&noCat=29,2026.06.17,일반
153122,[HUSS x 대전세종관광공사] 트래블런 창업캠프 신청 안내(~7.01) ✨교육기간 중 기숙사 제공✨,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153122&article.offset=50&articleLimit=10&noCat=514,2026.06.16,학생활동
153095,[SIEMENS-PACE센터] 2026 NX소프트웨어 하계 계절학기 집중교육과정 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153095&article.offset=50&articleLimit=10&noCat=500,2026.06.16,학사
153066,[대학혁신지원사업] 2026-하계 교과연계 워크숍 참여 학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153066&article.offset=50&articleLimit=10&noCat=511,2026.06.15,교수학습지원
153047,"2026년 하반기 국내과정 ICT 학점연계 프로젝트 인턴십 실습생(학생) 모집 안내(~7/8(수), 12:00)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153047&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취창업
153046,2026학년도 2학기(가을학기) 「서울영커리언스 인턴십」참여자 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153046&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취창업
153033,작은 실천 하나가 소중한 개인정보를 지켜줍니다!,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153033&article.offset=60&articleLimit=10&noCat=34,2026.06.15,보안
153016,[중앙도서관] 하계방학 중 도서관 운영 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153016&article.offset=60&articleLimit=10&noCat=29,2026.06.12,일반
153003,[재공지] 2026 한국장학재단 박사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153003&noCat=379,2026.06.12,장학
152968,"[마포청년창업취업지원센터 나루] 첫인상을 바꾸는 취업 전략, 퍼스널컬러 특강 (~6/19)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152968&article.offset=60&articleLimit=10&noCat=396,2026.06.11,취창업
152963,[서울/취업진로지원센터] YBM 토익스피킹(TOEIC Speaking) 정기시험 응시료 할인 제공 혜택 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152963&article.offset=60&articleLimit=10&noCat=396,2026.06.11,취창업
152958,[산학협력재단] 2026 국내 외국인 근로자 자녀 장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152958&article.offset=70&articleLimit=10&noCat=501,2026.06.11,장학
152956,"[국가정보원]  2026 하반기 공채 채용설명회 (7/22, 수)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152956&article.offset=70&articleLimit=10&noCat=396,2026.06.11,취창업
152953,[서울/취업진로지원센터] 한국중부발전(주) 서울발전본부 「KOMIPO-러닝메이트」 모집 공고 (~6/17 24:00),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152953&article.offset=70&articleLimit=10&noCat=396,2026.06.11,취창업
152926,[부마민주항쟁기념재단] 2026년 장학생 모집 공고 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152926&article.offset=70&articleLimit=10&noCat=501,2026.06.10,장학
152900,[강원대학교 외국학술지지원센터] 생명공학분야 해외 선행연구 자료 제공서비스 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152900&article.offset=70&articleLimit=10&noCat=29,2026.06.10,일반
152885,[홍보]  [SBA] 2026 국제 유스 창업 올림피아드 참가 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152885&article.offset=70&articleLimit=10&noCat=29,2026.06.10,일반
152873,[서울/취업진로지원센터] 2026-1학기 하계방학 국가근로장학생 추가선발 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152873&article.offset=70&articleLimit=10&noCat=29,2026.06.10,일반
152869,[한국소아당뇨인협회] 2027학년도 소아청소년 당뇨인 푸른빛 희망 장학금 지원 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152869&article.offset=70&articleLimit=10&noCat=501,2026.06.10,장학
152863,[취업진로지원센터 동문 졸업생 멘토 풀(Pool) 참여 희망자 모집],https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152863&article.offset=80&articleLimit=10&noCat=396,2026.06.10,취창업
152852,[롯데장학재단] 2026년 신격호 롯데 취업준비생 장학사업 장학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152852&article.offset=80&articleLimit=10&noCat=500,2026.06.09,학사
152844,[홍보] ❗참가비 무료❗코원 취업캠프(21기) 참여자 모집 안내(~6/19 24:00),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152844&article.offset=80&articleLimit=10&noCat=396,2026.06.09,취창업
152833,[정보전산원] 2026학년도 1학기 하계 방학 중 공용 PC실 개방 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152833&article.offset=80&articleLimit=10&noCat=29,2026.06.09,일반
152822,[중앙도서관x서울대학교 외국학술지지원센터] '자연과학' 분야 외국학술지 무료 원문복사 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152822&article.offset=80&articleLimit=10&noCat=29,2026.06.09,일반
152818,[홍보] SK미래역량 프로그램 써니C 5기 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152818&article.offset=80&articleLimit=10&noCat=514,2026.06.09,학생활동
152813,[홍보] 2026 제 6회 3D 모델링 디자인 공모전,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152813&article.offset=80&articleLimit=10&noCat=514,2026.06.09,학생활동
152785,대학 「학칙」 개정(안) 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152785&article.offset=80&articleLimit=10&noCat=29,2026.06.08,일반
152753,2026년 8월 조기졸업 신청서 제출 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152753&article.offset=80&articleLimit=10&noCat=500,2026.06.08,학사
152749,[홍대신문사] 제51회 홍대 학‧예술상 작품 현상 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152749&article.offset=90&articleLimit=10&noCat=514,2026.06.08,학생활동
152718,[교양교육원 서울캠] 6.10 (수) 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152718&noCat=383,2026.06.05,기타
152702,2026년 소선나눔기금 과학기술 미래인재 장학생 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152702&article.offset=90&articleLimit=10&noCat=501,2026.06.05,장학
152685,[중앙도서관x강원대학교 외국학술지지원센터] '생명공학' 분야 외국학술지 무료 원문복사 신청 안내(+우수이용자 이벤트 안내),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152685&article.offset=90&articleLimit=10&noCat=29,2026.06.05,일반
152444,[서울 학부생] 2026-1학기 학생 포상 추천 접수,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152444&article.offset=90&articleLimit=10&noCat=514,2026.06.02,학생활동
152433,2026학년도 1학기 성적조회 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152433&article.offset=90&articleLimit=10&noCat=500,2026.06.02,학사
152432,2026학년도 1학기 성적 처리 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152432&article.offset=90&articleLimit=10&noCat=33,2026.06.02,교강사
152410,"학생처(장학팀, 학생지원팀, 포스터 승인) 사무실 임시 이전 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152410&article.offset=90&articleLimit=10&noCat=29,2026.06.01,일반
152392,"[국제언어교육원] 2026학년도 여름 학기 정규 어학(대체강좌,맞춤형,영어집중과정,토익관련) 강좌 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152392&noCat=23,2026.06.01,학사
152390,[세종캠퍼스] 2026학년도 2학기 재입학 추가 접수 안내(학부),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152390&noCat=23,2026.06.01,학사
152386,2026 여름학기 교내외국어과정 모집[토익/토익스피킹/토플],https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152386&noCat=23,2026.06.01,학사
152370,[모집] 2026 저탄소/에너지 기술 컨소시엄 SUMMER SCHOOL,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152370&article.offset=100&articleLimit=10&noCat=514,2026.06.01,학생활동
152307,[우양재단] 2026년 청년밥상 장학 신청,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152307&article.offset=100&articleLimit=10&noCat=501,2026.05.29,장학
152260,[홍보] LG Aimers 9기 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152260&article.offset=100&articleLimit=10&noCat=29,2026.05.28,일반
152242,2026학년도 하계계절학기 학점교류 학생 학번조회 안내(안),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152242&article.offset=100&articleLimit=10&noCat=500,2026.05.28,학사
152237,2026-1학기 대학원 분납등록금 납부 안내(5.27~5.29),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152237&noCat=380,2026.05.27,학적
152213,2026학년도 1학기 인준 논문 및 개별연구과제 제출 안내(6.9.(화)~7.6.(월)) / Guidelines for submission of Approved Thesis and Research Report,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152213&noCat=377,2026.05.27,졸업
152203,"학생처(장학팀, 학생지원팀, 포스터 승인) 사무실 임시 이전 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152203&article.offset=110&articleLimit=10&noCat=501,2026.05.27,장학
152178,[세종캠퍼스] 2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152178&article.offset=110&articleLimit=10&noCat=501,2026.05.26,장학
152177,2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152177&article.offset=110&articleLimit=10&noCat=501,2026.05.26,장학
